SIF_UUID,PROGRAM_CODE,MANIFEST_ID
547d6ab1-06d6-44b0-9308-4bdb370b3d96,SCI_NA18S_SCIDIM_ModH,I_13aaaaaa-aaaa-4aaa-a4ca-978132875783
547d6ab1-06d6-44b0-9308-4bdb370b3d96,SCI_NA18S_SCIDIM_ModH,I_13aaaaaa-aaaa-4aaa-a44a-978132849780
2ca7f301-f35a-466f-b3a8-49d7b91aa967,SCI_NA18S_SCIDIM_ModH,I_13aaaaaa-aaaa-4aaa-a44a-978132849780
71175d8b-3cfb-43e6-91dd-2df89d90eb3c,SCI_NA18S_SCIDIM_ModG,I_13aaaaaa-aaaa-4aaa-a50a-978132849779
1e742c92-89cd-44f2-8da6-7ac89a4c6b88,SCI_NA18S_SCIDIM_ModJ,I_13aaaaaa-aaaa-4aaa-a48a-978132875785
18a87d07-e5cc-4668-9e57-46eff42e68ab,SCI_NA18S_SCIDIM_ModH,I_13aaaaaa-aaaa-4aaa-a4ca-978132875783
01fbbffb-468a-40b4-aa0b-8782c4e1a218,SCI_NA18S_SCIDIM_ModH,I_13aaaaaa-aaaa-4aaa-a4ca-978132875783
b5ed3ce2-f4d9-4b2b-ae1e-4fbc9c7089fc,SCI_NA18S_SCIDIM_ModJ,I_13aaaaaa-aaaa-4aaa-a4aa-978132849782
b5ed3ce2-f4d9-4b2b-ae1e-4fbc9c7089fc,SCI_NA18S_SCIDIM_ModH,I_13aaaaaa-aaaa-4aaa-a44a-978132849780
61af8efc-aa4f-4fa8-8229-0f23b0294127,SCI_NA18S_SCIDIM_ModH,I_13aaaaaa-aaaa-4aaa-a44a-978132849780
ddf9c2e4-dcdd-4c0d-8ded-282d92ec2dd7,SCI_NA18S_SCIDIM_ModH,I_13aaaaaa-aaaa-4aaa-a44a-978132849780
ddf9c2e4-dcdd-4c0d-8ded-282d92ec2dd7,SCI_NA18S_SCIDIM_ModJ,I_13aaaaaa-aaaa-4aaa-a48a-978132875785
6ee036bc-e600-4875-a037-6c23ad738525,SCI_NA18S_SCIDIM_ModL,I_13aaaaaa-aaaa-4aaa-a46a-978132849784
