96a67f74-fdb9-4a0d-8606-34fbe450f441,ELA_IR_G1_NA,I_13aaaaaa-aaaa-4aaa-a40a-978132846950
043b1497-a251-48b1-b5a4-1f46182360e9,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a44a-978054488240
822af41d-dbb4-4a1f-b9c7-3fbb5303a206,ELA_IR_G3_NA,I_13aaaaaa-aaaa-4aaa-a46a-978132846952
ccdfbb01-2a02-434a-9122-a979f5e97aa8,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a44a-978054488240
ccdfbb01-2a02-434a-9122-a979f5e97aa8,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a48a-978054488228
285d6594-a316-4c52-b561-5202afbcb92d,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a40a-978054488227
285d6594-a316-4c52-b561-5202afbcb92d,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a42a-978054488231
285d6594-a316-4c52-b561-5202afbcb92d,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a42a-978054488236
285d6594-a316-4c52-b561-5202afbcb92d,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a46a-978054488239
acd213c1-871b-4915-a567-4081e859a1fe,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a42a-978054488246
acd213c1-871b-4915-a567-4081e859a1fe,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a44a-978054488240
acd213c1-871b-4915-a567-4081e859a1fe,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a46a-978054488224
acd213c1-871b-4915-a567-4081e859a1fe,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a46a-978054488229
285d6594-a316-4c52-b561-5202afbcb92d,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a3ea-978054488223
285d6594-a316-4c52-b561-5202afbcb92d,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a3ea-978054488243
c4f2f6f7-6c28-4e98-87ab-8fe67027813d,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a3ea-978054488223
c4f2f6f7-6c28-4e98-87ab-8fe67027813d,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a42a-978054488226
c4f2f6f7-6c28-4e98-87ab-8fe67027813d,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a46a-978054488224
c4f2f6f7-6c28-4e98-87ab-8fe67027813d,NA_SCI_YSI_6-8,I_13aaaaaa-aaaa-4aaa-a40a-978054488227
